metrics,in_housing_spell_on_date_18_aboriginal_full_match,in_housing_spell_on_date_18_non_aboriginal_full_match,in_housing_spell_on_date_18_aboriginal_nn_match,in_housing_spell_on_date_18_non_aboriginal_nn_match,in_housing_spell_on_date_19_aboriginal_full_match,in_housing_spell_on_date_19_non_aboriginal_full_match,in_housing_spell_on_date_19_aboriginal_nn_match,in_housing_spell_on_date_19_non_aboriginal_nn_match,new_housing_spell_between_18_19_aboriginal_full_match,new_housing_spell_between_18_19_non_aboriginal_full_match,new_housing_spell_between_18_19_aboriginal_nn_match,new_housing_spell_between_18_19_non_aboriginal_nn_match,any_housing_spell_between_18_19_aboriginal_full_match,any_housing_spell_between_18_19_non_aboriginal_full_match,any_housing_spell_between_18_19_aboriginal_nn_match,any_housing_spell_between_18_19_non_aboriginal_nn_match,new_unsheltered_homelessness_between_18_19_aboriginal_full_match,new_unsheltered_homelessness_between_18_19_non_aboriginal_full_match,new_unsheltered_homelessness_between_18_19_aboriginal_nn_match,new_unsheltered_homelessness_between_18_19_non_aboriginal_nn_match,new_ongoing_unsheltered_homelessness_between_18_19_aboriginal_full_match,new_ongoing_unsheltered_homelessness_between_18_19_non_aboriginal_full_match,new_ongoing_unsheltered_homelessness_between_18_19_aboriginal_nn_match,new_ongoing_unsheltered_homelessness_between_18_19_non_aboriginal_nn_match,new_short_term_accommodation_required_between_18_19_aboriginal_full_match,new_short_term_accommodation_required_between_18_19_non_aboriginal_full_match,new_short_term_accommodation_required_between_18_19_aboriginal_nn_match,new_short_term_accommodation_required_between_18_19_non_aboriginal_nn_match,new_ongoing_short_term_accommodation_required_between_18_19_aboriginal_full_match,new_ongoing_short_term_accommodation_required_between_18_19_non_aboriginal_full_match,new_ongoing_short_term_accommodation_required_between_18_19_aboriginal_nn_match,new_ongoing_short_term_accommodation_required_between_18_19_non_aboriginal_nn_match,count_total_spells_18_19_aboriginal_full_match,count_total_spells_18_19_non_aboriginal_full_match,count_total_spells_18_19_aboriginal_nn_match,count_total_spells_18_19_non_aboriginal_nn_match,time_in_housing_support_18_19_aboriginal_full_match,time_in_housing_support_18_19_non_aboriginal_full_match,time_in_housing_support_18_19_aboriginal_nn_match,time_in_housing_support_18_19_non_aboriginal_nn_match
Model family,Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Poisson,Poisson,Poisson,Poisson,Linear,Linear,Linear,Linear
Link function,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Log,Log,Log,Log,Identity,Identity,Identity,Identity
Estimated Potential Outcomes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intervention group,0.077,0.038,0.077,0.038,0.087,0.058,0.087,0.058,0.199,0.118,0.199,0.118,0.25,0.133,0.25,0.133,0.168,0.113,0.168,0.113,0.219,0.123,0.219,0.123,0.199,0.118,0.199,0.118,0.25,0.133,0.25,0.133,0.309,0.187,0.309,0.187,26.289,10.106,26.289,10.106
Comparison group,0.009,0.095,0.025,0.084,0.034,0.061,0.015,0.069,0.144,0.139,0.124,0.135,0.146,0.193,0.134,0.191,0.144,0.128,0.124,0.125,0.146,0.183,0.134,0.181,0.144,0.139,0.124,0.135,0.146,0.193,0.134,0.191,0.465,0.287,0.37,0.277,9.049,22.517,11.84,23.821
Treatment Effects:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Risk Difference:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATT estimate,0.068,-0.057,0.052,-0.046,0.052,-0.004,0.072,-0.011,0.055,-0.021,0.075,-0.017,0.104,-0.06,0.116,-0.058,0.025,-0.015,0.045,-0.012,0.073,-0.06,0.086,-0.058,0.055,-0.021,0.075,-0.017,0.104,-0.06,0.116,-0.058,NA,NA,NA,NA,NA,NA,NA,NA
Standard error,(0.026),(0.028),(0.03),(0.023),(0.044),(0.024),(0.03),(0.024),(0.054),(0.034),(0.051),(0.032),(0.063),(0.037),(0.055),(0.035),(0.056),(0.037),(0.049),(0.031),(0.065),(0.039),(0.053),(0.034),(0.054),(0.034),(0.051),(0.032),(0.063),(0.037),(0.055),(0.035),NA,NA,NA,NA,NA,NA,NA,NA
