metrics,in_housing_spell_on_date_18_male_full_match,in_housing_spell_on_date_18_female_full_match,in_housing_spell_on_date_18_male_nn_match,in_housing_spell_on_date_18_female_nn_match,in_housing_spell_on_date_19_male_full_match,in_housing_spell_on_date_19_female_full_match,in_housing_spell_on_date_19_male_nn_match,in_housing_spell_on_date_19_female_nn_match,new_housing_spell_between_18_19_male_full_match,new_housing_spell_between_18_19_female_full_match,new_housing_spell_between_18_19_male_nn_match,new_housing_spell_between_18_19_female_nn_match,any_housing_spell_between_18_19_male_full_match,any_housing_spell_between_18_19_female_full_match,any_housing_spell_between_18_19_male_nn_match,any_housing_spell_between_18_19_female_nn_match,new_unsheltered_homelessness_between_18_19_male_full_match,new_unsheltered_homelessness_between_18_19_female_full_match,new_unsheltered_homelessness_between_18_19_male_nn_match,new_unsheltered_homelessness_between_18_19_female_nn_match,new_ongoing_unsheltered_homelessness_between_18_19_male_full_match,new_ongoing_unsheltered_homelessness_between_18_19_female_full_match,new_ongoing_unsheltered_homelessness_between_18_19_male_nn_match,new_ongoing_unsheltered_homelessness_between_18_19_female_nn_match,new_short_term_accommodation_required_between_18_19_male_full_match,new_short_term_accommodation_required_between_18_19_female_full_match,new_short_term_accommodation_required_between_18_19_male_nn_match,new_short_term_accommodation_required_between_18_19_female_nn_match,new_ongoing_short_term_accommodation_required_between_18_19_male_full_match,new_ongoing_short_term_accommodation_required_between_18_19_female_full_match,new_ongoing_short_term_accommodation_required_between_18_19_male_nn_match,new_ongoing_short_term_accommodation_required_between_18_19_female_nn_match,count_total_spells_18_19_male_full_match,count_total_spells_18_19_female_full_match,count_total_spells_18_19_male_nn_match,count_total_spells_18_19_female_nn_match,time_in_housing_support_18_19_male_full_match,time_in_housing_support_18_19_female_full_match,time_in_housing_support_18_19_male_nn_match,time_in_housing_support_18_19_female_nn_match
Model family,Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Binomial (MPL Jeffreys bias-reduced),Poisson,Poisson,Poisson,Poisson,Linear,Linear,Linear,Linear
Link function,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Logit,Log,Log,Log,Log,Identity,Identity,Identity,Identity
Estimated Potential Outcomes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intervention group,0.065,0.036,0.065,0.036,0.079,0.056,0.079,0.056,0.161,0.129,0.161,0.129,0.195,0.149,0.195,0.149,0.147,0.116,0.147,0.116,0.182,0.129,0.182,0.129,0.161,0.129,0.161,0.129,0.195,0.149,0.195,0.149,0.262,0.193,0.262,0.193,18.228,12.72,18.228,12.72
Comparison group,0.077,0.056,0.059,0.069,0.063,0.042,0.052,0.049,0.182,0.099,0.148,0.115,0.216,0.14,0.183,0.161,0.175,0.092,0.141,0.109,0.209,0.133,0.176,0.155,0.182,0.099,0.148,0.115,0.216,0.14,0.183,0.161,0.507,0.185,0.368,0.252,18.487,17.662,16.583,22.788
Treatment Effects:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Risk Difference:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATT estimate,-0.012,-0.019,0.006,-0.033,0.016,0.015,0.027,0.007,-0.021,0.03,0.013,0.014,-0.021,0.009,0.012,-0.012,-0.028,0.024,0.006,0.007,-0.027,-0.004,0.006,-0.025,-0.021,0.03,0.013,0.014,-0.021,0.009,0.012,-0.012,NA,NA,NA,NA,NA,NA,NA,NA
Standard error,(0.037),(0.023),(0.028),(0.023),(0.036),(0.024),(0.029),(0.025),(0.045),(0.036),(0.042),(0.036),(0.052),(0.041),(0.045),(0.041),(0.05),(0.034),(0.041),(0.035),(0.056),(0.04),(0.043),(0.039),(0.045),(0.036),(0.042),(0.036),(0.052),(0.041),(0.045),(0.041),NA,NA,NA,NA,NA,NA,NA,NA
95% CI,"[-0.102, 0.047]","[-0.068, 0.025]","[-0.047, 0.062]","[-0.081, 0.011]","[-0.063, 0.078]","[-0.031, 0.062]","[-0.026, 0.085]","[-0.042, 0.057]","[-0.114, 0.063]","[-0.043, 0.099]","[-0.07, 0.098]","[-0.057, 0.087]","[-0.119, 0.083]","[-0.078, 0.087]","[-0.075, 0.1]","[-0.09, 0.071]","[-0.137, 0.063]","[-0.046, 0.091]","[-0.075, 0.086]","[-0.059, 0.078]","[-0.139, 0.078]","[-0.085, 0.072]","[-0.079, 0.09]","[-0.101, 0.054]","[-0.114, 0.063]","[-0.043, 0.099]","[-0.07, 0.098]","[-0.057, 0.087]","[-0.119, 0.083]","[-0.078, 0.087]","[-0.075, 0.1]","[-0.09, 0.071]",NA,NA,NA,NA,NA,NA,NA,NA
Relative Risk:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CATT estimate,0.848,0.652,1.11,0.527,1.246,1.347,1.523,1.141,0.884,1.305,1.086,1.122,0.905,1.064,1.068,0.924,0.842,1.256,1.042,1.068,0.87,0.969,1.032,0.835,0.884,1.305,1.086,1.122,0.905,1.064,1.068,0.924,NA,NA,NA,NA,NA,NA,NA,NA
Standard error,(0.737),(0.444),(0.714),(0.301),(1.262),(1.165),(1.141),(0.969),(0.265),(0.48),(0.337),(0.383),(0.252),(0.333),(0.277),(0.267),(0.302),(0.482),(0.334),(0.381),(0.278),(0.319),(0.275),(0.254),(0.265),(0.48),(0.337),(0.383),(0.252),(0.333),(0.277),(0.267),NA,NA,NA,NA,NA,NA,NA,NA
